species,subpopulation,presence,data_type,tag_id,mld,PPupper200m,sla,sst,sst_sd,bathy,bathy_sd
Blue Whale,N Pacific,1,opportunistic sighting,1,12.6353398799896,23.1790331885928,0.0105984638406274,12.7539070674351,0.267457300409821,-912.204571334482,688.378747649173
Blue Whale,N Pacific,1,opportunistic sighting,1,11.4538770039876,3.35125630242484,-0.0936711379571965,19.1966663996379,0.256473501566408,-1112.5597847872,579.200692940541
Blue Whale,N Pacific,1,opportunistic sighting,1,12.1123804679284,2.88391014507839,-0.0911670364439487,20.3195813894272,0.464688925459807,-667.721747097044,465.716940198041
Blue Whale,N Pacific,1,opportunistic sighting,1,11.7869502703349,3.03304735819499,-0.0857270737843854,20.5201778411865,0.406759026511884,-631.646481214704,346.741672064107
Blue Whale,N Pacific,1,opportunistic sighting,1,11.4828778996187,3.38082882761955,-0.0950755764331136,19.1940037727356,0.251247700376005,-1189.53944710743,574.254798468933
Blue Whale,N Pacific,1,opportunistic sighting,1,11.7869502703349,3.03304735819499,-0.0857270737843854,20.5201778411865,0.406759026511884,-631.646481214704,346.741672064107
Blue Whale,N Pacific,1,opportunistic sighting,1,12.3510348980243,1.66440131834575,-0.0677443549502641,18.8672473430634,0.0954419837762103,-667.721747097044,465.716940198041
Blue Whale,N Pacific,1,opportunistic sighting,1,11.7869502703349,3.03304735819499,-0.0857270737843854,20.5201778411865,0.406759026511884,-631.646481214704,346.741672064107
Blue Whale,N Pacific,1,opportunistic sighting,1,20.5021291879507,2.02792236634663,-0.0977703990305171,20.8895094254438,0.124874735384794,-651.962745166107,430.363128358342
Blue Whale,N Pacific,1,opportunistic sighting,1,13.8998594284058,1.17517682909966,-0.0807017860934138,18.9862376451492,0.432884229947222,-733.675894990086,437.514012657561
Blue Whale,N Pacific,1,opportunistic sighting,1,11.4975102543831,3.41559629440308,-0.095195484161377,19.1773084339343,0.246471057982889,-1208.23127082656,591.17805025712
Blue Whale,N Pacific,1,opportunistic sighting,1,11.7869502703349,3.03304735819499,-0.0857270737843854,20.5201778411865,0.406759026511884,-631.646481214704,346.741672064107
Blue Whale,N Pacific,1,opportunistic sighting,1,14.4154351779393,1.20766025384267,-0.0307537812794394,19.8505740446203,0.24736134435274101,-735.98883061178,503.089977779731
Blue Whale,N Pacific,1,opportunistic sighting,1,12.3510348980243,1.66440131834575,-0.0677443549502641,18.8672473430634,0.0954419837762103,-667.721747097044,465.716940198041
Blue Whale,N Pacific,1,opportunistic sighting,1,11.4975102543831,3.41559629440308,-0.095195484161377,19.1773084339343,0.246471057982889,-1208.23127082656,591.17805025712
Blue Whale,N Pacific,1,opportunistic sighting,1,14.819729071397,1.24976932150977,-0.106232700869441,17.9980802536011,0.502006076288212,-667.721747097044,465.716940198041
Blue Whale,N Pacific,1,opportunistic sighting,1,11.390179497855,7.78662774676368,-0.0185505374822588,26.7805461883545,0.0638121907731221,-3714.95932250429,62.7375278678109
Blue Whale,N Pacific,1,opportunistic sighting,1,15.4070780277252,11.7373885857432,0.0664107529446483,17.2579157569192,0.646037206348957,-470.899451616633,365.414655257551
Blue Whale,N Pacific,1,opportunistic sighting,1,11.0443246478126,10.2444171451387,0.00263471580997464,25.9551221756708,0.232641696945788,-3568.85417782258,89.9203830990923
Blue Whale,N Pacific,1,opportunistic sighting,1,13.5221803665161,1.82814128994942,0.0640448339283466,23.9257193565369,0.423312659292751,-1095.32668809623,1061.08801204913
Blue Whale,N Pacific,1,opportunistic sighting,1,10.5626675188541,43.9023230626033,0.0496609508991241,13.9169139862061,0.771042844132568,-1036.08255373889,1022.66498170516
